"label","location","homepage","lat","long","endowment","lat_long"
"University of California, Berkeley",,,37.8719,-122.259,"4.79E9",
"University of California, Davis",,,38.54,-121.75,"1.66E9",
"University of California, Irvine",,,33.6456,-117.842,"1.03E9",
"University of California, Los Angeles",,,34.0694,-118.445,"5.39E9",
"University of California, Merced",,,37.366,-120.424,"5.55E7",
"University of California, Riverside",,,33.9756,-117.331,"2.598E8",
"University of California, San Diego",,,32.8801,-117.234,"1.73E9",
"University of California, San Francisco",,,37.7627,-122.458,"3.89E9",
"University of California, Santa Cruz",,,37.0,-122.06,"2.154E8",
"University of Cambridge",,,52.2053,0.117222,"7.121E9",
"University of Central Arkansas",,,35.077,-92.457,"4.86E7",
"University of Central Missouri",,,38.7591,-93.7374,"4.289E7",
"University of Central Oklahoma",,,35.6583,-97.4719,"3.281E7",
"University of Charleston",,,38.3329,-81.6165,"2.81E7",
"University of Chicago",,,41.7897,-87.5997,"8.5E9",
"University of Cincinnati",,,39.131,-84.516,"1.453E9",
"University of Colombo",,,6.90157,79.8596,"1.461E9",
"University of Colorado Boulder",,,40.0067,-105.267,"1.45E9",
"University of Colorado Colorado Springs",,,38.8922,-104.799,"1.5E9",
"University of Connecticut",,,41.8072,-72.2525,"4.624E8",
"University of Dallas",,,32.8451,-96.9258,"7.6E7",
"University of Dayton",,,39.7404,-84.1792,"6.042E8",
"University of Delaware",,,39.6783,-75.7511,"1.466E9",
"University of Denver",,,39.6783,-104.962,"7.864E8",
"University of Detroit Mercy",,,42.4141,-83.1379,"6.93E7",
"University of East Anglia",,,52.6217,1.24167,"7700000.0",
"A.S. College, Deoghar",,"http://ascollegedeoghar.com/",24.4882,86.6768,,
"A. Gary Anderson Graduate School of Management",,"https://business.ucr.edu/",33.9698,-117.326,,
"A. M. B.Ed. College",,"http://ambedcollegegaya.org",24.7937,84.9821,,
"A. V. C. College",,"http://www.avccollege.net/",11.0978,79.6507,,
"ABSS Institute of Technology",,"http://www.abss.edu.in/",29.0251,77.774,,
"ACPM Medical College",,"http://www.jmfacpm.com",20.8993,74.7241,,
"ACPM Medical College",,"http://www.acpmjmf.com",20.8993,74.7241,,
"AES Bhausaheb Firodiya High School",,"https://web.archive.org/web/20130523151037/http:/aesded.com/",19.0904,74.7339,,
"AES Bhausaheb Firodiya High School",,"https://web.archive.org/web/20130523151037/http://aesded.com/",19.0904,74.7339,,
"AFDA, The School for the Creative Economy",,"http://www.afda.co.za/",-33.9317,18.4683,,
"AMC MET Medical College",,"http://www.metmedical.edu.in",22.9983,72.6044,,
"ANU College of Law",,"http://law.anu.edu.au",-35.281,149.119,,
"ANU Joint Colleges of Science",,"http://science.anu.edu.au/",-35.281,149.119,,
"ANU Joint Colleges of Science",,"http://science.anu.edu.au//",-35.281,149.119,,
"Lovely Professional University",,"http://lpu.in",31.2536,75.7037,,
"Lowell House",,"http://www.lowell.harvard.edu",42.3708,-71.1182,,
"Lowell State College",,"http://www.uml.edu",42.642,-71.3354,,
"Lower Columbia College",,"http://www.lowercolumbia.edu",46.1431,-122.938,,
"Loyalist College",,"http://www.loyalistcollege.com",44.1541,-77.4306,,
"Loyola Academy",,"http://www.goramblers.org",42.0836,-87.7608,,
"Loyola Academy, Secunderabad",,"http://loyolaacademyugpg.ac.in",17.5026,78.4838,,
"Loyola College, Chennai",,"http://loyolacollege.edu",13.062,80.234,,
"Loyola College, Manvi",,"https://www.loyolacollegemanvi.com",16.0053,77.07,,
"Loyola College of Culion",,"http://loyolacollege-culion.simplesite.com",11.8353,119.993,,
"Loyola College of Education, Jamshedpur",,"http://www.loyolacollege.in/",22.7809,86.2678,,
"Loyola College of Social Sciences",,"http://loyolacollegekerala.edu.in/",8.54344,76.9127,,
"Loyola Industrial Training Institute, Bangalore",,"http://www.loyolaitiblr.com",12.8695,77.5926,,
"Loyola Institute of Business Administration",,"http://www.liba.edu/",13.0636,80.2347,,
"Loyola Jesuit College",,"http://www.loyolajesuit.org/",4.92719,6.96688,,
"Loyola Polytechnic Institute",,"http://superior.ipl.edu.do/",18.4113,-70.1132,,
"Loyola University Andalusia",,"http://www.uloyola.es",40.4223,-3.70591,,
"Loyola University of Congo",,"https://loyola.cd",-4.45361,15.2892,,
"Lucerne University of Applied Sciences and Arts",,"http://www.hslu.ch/",47.014,8.306,,
"Lucknow College of Arts and Crafts",,"http://www.lkouniv.ac.in/arts_college.htm",26.8626,80.9329,,
"Lucy Cavendish College, Cambridge",,"http://www.lucy.cam.ac.uk/",52.2112,0.1101,,
"Ludwig Maximilian University of Munich",,"https://www.en.uni-muenchen.de/index.html%7C2=www.en.uni-muenchen.de",48.1508,11.5803,,
"Lugazi University",,"https://web.archive.org/web/20090819164551/http:/www.lugaziuniversity.ac.ug/",0.37,32.9131,,
"Lugazi University",,"https://web.archive.org/web/20090819164551/http://www.lugaziuniversity.ac.ug/",0.37,32.9131,,
"Luhansk State Medical University",,"http://lsmu.edu.ua",48.5111,39.3639,,
"Lukhdhirji Engineering College",,"http://www.lecm.cteguj.in/",22.8206,70.8447,,
"Luleå University of Technology",,"http://www.ltu.se/",65.6181,22.1389,,
"Luna Community College",,"http://www.luna.edu",35.6159,-105.253,,
"Lund School of Economics and Management",,"https://www.ehl.lu.se/",55.71,13.2137,,
"Lund University",,"https://www.lu.se",55.7058,13.1933,,
"Lund University",,"https://www.lunduniversity.lu.se",55.7058,13.1933,,
"Lundy–Fetterman School of Business",,"https://business.campbell.edu/",35.4122,-78.7425,,
"Lunglei Government College",,"http://lgc.ac.in/",22.8945,92.7449,,
"Lurleen B. Wallace Community College",,"http://www.lbwcc.edu/",31.3225,-86.4528,,
"Lusíada University of Porto",,"http://www.por.ulusiada.pt/",41.1758,-8.5825,,
"Luther College (Saskatchewan)",,"https://www.luthercollege.edu/university",50.4545,-104.652,,
"Luther University",,"http://www.ltu.ac.kr",37.2653,127.113,,
"Lutheran Theological Seminary at Gettysburg",,"http://unitedlutheranseminary.edu/",39.8316,-77.2443,,
"Lutheran Theological Seminary at Philadelphia",,"https://www.unitedlutheranseminary.edu",40.0619,-75.1917,,
"Lutheran Theological Southern Seminary",,"http://lr.edu/ltss",34.0427,-81.0386,,
"Lutsk National Technical University",,"http://lntu.edu.ua",50.7258,25.296,,
"Luxembourg Institute of Socio-Economic Research",,"http://www.liser.lu/",49.5033,5.94844,,
"Luxembourg School of Business",,"http://www.luxsb.lu",49.607,6.10813,,
"Luzerne County Community College",,"http://www.luzerne.edu/",41.193,-75.993,,
"Lviv Polytechnic",,"http://www.lp.edu.ua",49.8356,24.0147,,
"Lyceum of Subic Bay",,"https://www.lsb.edu.ph/",14.8234,120.279,,
"Lyceum of the Philippines University–Cavite",,"https://web.archive.org/web/20120421015016/http:/www.cavite.lpu.edu.ph/",14.2908,120.916,,
"Lycée Louis-le-Grand",,"http://www.louislegrand.org/",48.8481,2.34453,,
"Lycée privé Sainte-Geneviève",,"http://www.bginette.com/%7CBGinette.com",48.8036,2.15528,,
"Lyle School of Engineering",,"http://www.smu.edu/lyle/",32.8464,-96.7861,,
"Lyndon State College",,"http://www.lyndonstate.edu/",44.5353,-72.0253,,
"Lyons Hall (University of Notre Dame)",,"http://www.nd.edu/~lyons/",41.7007,-86.2433,,
"M.B.C. Institute of Engineering and Technology",,"http://webscte.org/",23.2496,87.8787,,
"M.E.S. Ponnani College, Ponnani",,"https://web.archive.org/web/20110518033229/http:/mesponnanicollege.com/profile.html",10.7647,75.9254,,
"M.O.P. Vaishnav College for Women",,"http://mopvc.edu.in/",13.0553,80.2503,,
"M. Kumarasamy College of Engineering",,"http://mkce.ac.in",11.0549,78.0481,,
"MAK College of Pharmacy",,"http://www.makpharmacollege.ac.in",17.3292,78.2918,,
"MARA Japan Industrial Institute Beranang",,"http://mjii.kktm.edu.my/",2.9046,101.865,,
"MBS College of Crete",,"http://www.collegeofcrete.com",35.3284,25.1185,,
"MEA Engineering College, Perinthalmanna",,"https://www.meaec.edu.in/",11.0383,76.2627,,
"MES Asmabi College",,"http://www.mesasmabi.com",10.2668,76.1425,,
"MES College Marampally, Aluva",,"http://www.mesmarampally.org",10.1073,76.4116,,
"MES Kalladi College",,"http://meskc.ac.in",10.9902,76.4384,,
"MES Keveeyam College, Valanchery",,"http://www.meskvmcollege.org",10.8814,76.0762,,
"MIES R.M. Law College",,"http://mies-lawcollege.com/index.php",22.4431,88.4271,,
"MIT School of Architecture and Planning",,"http://sap.mit.edu/",42.3651,-71.0932,,
"MIT School of Telecom Management, Pune",,"http://www.mitsot.com",18.6099,73.755,,
"MIT World Peace University",,"https://mitwpu.edu.in/",18.5186,73.8149,,
"MMNSS College Kottiyam",,"http://mmnsscollege.ac.in/",8.8686,76.6678,,
"MM College, Bikram",,"https://www.mmcollege.co.in/",25.4469,84.8483,,
"MSU Faculty of History",,"https://www.msu.ru/en/info/struct/depts/hist.html",55.7,37.5294,,
"MaKami College",,"https://www.makamicollege.com",53.5397,-113.423,,
"Ma Chung University",,"https://www.machung.ac.id/",-7.95739,112.59,,
"Maastricht School of Management",,"http://www.msm.nl",50.8374,5.7159,,
"Maastricht University Campus Venlo",,"http://www.maastrichtuniversity.nl/campusvenlo",51.3692,6.17389,,
"MacCormac College",,"http://www.maccormac.edu/",41.8818,-87.6267,,
"MacEwan University",,"http://www.macewan.ca",53.5469,-113.505,,
"Macclesfield College",,"http://www.macclesfield.ac.uk",53.251,-2.138,,
"Machakos University",,"http://www.mksu.ac.ke",-1.38417,37.8294,,
"Mackay Medical College",,"http://www.mmc.edu.tw/",25.2544,121.495,,
"Mackenzie Presbyterian University",,"http://www.mackenzie.br/",-23.547,-46.652,,
"Mackinac College (Humbard)",,"https://www.facebook.com/pages/Cathedral-of-Tomorrow/103243419728996%23",45.8514,-84.6054,,
"Macquarie Law School",,"http://www.law.mq.edu.au",-33.7754,151.112,,
"Macquarie University Faculty of Business and Economics",,"http://www.businessandeconomics.mq.edu.au/",-33.7718,151.116,,
"Madan Mohan College",,"http://mmc.edu.bd",24.897,91.8619,,
"Madan Mohan Malaviya University of Technology",,"http://www.mmmut.ac.in",26.7306,83.4333,,
"Madeenathul Uloom Arabic College",,"http://www.muacollege.ac.in/",11.175,75.9187,,
"Madenat Alelem University College",,"http://www.madenatalelem.com",33.3786,44.3358,,
"Madera Community College",,"https://www.maderacenter.com/",36.9242,-119.998,,
"Madhav Institute of Technology and Science",,"http://mitsgwalior.in/",26.2326,78.2052,,
"Madhupur College, Jharkhand",,"http://madhupurcollege.com",24.2595,86.6402,,
"Madhusudan Hore Mahavidyalaya",,"http://mhm.ac.in/",26.3272,89.2869,,
"Madison Area Technical College",,"http://madisoncollege.edu",43.1218,-89.3278,,
"Madisonville Community College",,"http://www.madisonville.kctcs.edu",37.3643,-87.5131,,
"Madras Christian College",,"https://mcc.edu.in",12.9213,80.122,,
"Madras Institute of Technology",,"http://www.mitindia.edu/",12.9481,80.1397,,
"Madras Medical College",,"http://www.mmc.ac.in",13.0816,80.2789,,
"Madras Sanskrit College",,"https://www.madrassanskritcollege.edu.in/",13.0401,80.2684,,
"Madras School of Economics",,"http://www.mse.ac.in/",13.0171,80.2379,,
"Madras Veterinary College",,"http://www.tanuvas.tn.nic.in/index.html",13.0857,80.2666,,
"Madrid Royal Conservatory",,"https://www.rcsmm.eu",40.4092,-3.69434,,
"Madura College",,"http://www.maduracollege.edu.in",9.911,78.108,,
"Madura State Polytechnic",,"http://www.poltera.ac.id",-7.21559,113.272,,
"Madurai Medical College",,"http://www.mdmc.ac.in/",9.92785,78.1368,,
"Magdalen College, Oxford",,"http://www.magd.ox.ac.uk/",51.7524,-1.24708,,
"Magdalen College of the Liberal Arts",,"http://www.magdalen.edu",43.3136,-71.8336,,
"Magdalene College, Cambridge",,"http://www.magd.cam.ac.uk/",52.2105,0.1165,,
"Magnitogorsk State University",,"http://www.masu.ru/",53.388,58.9873,,
"Magrahat College",,"http://Magrahatcollege.in/",22.2463,88.3733,,
"Mahachulalongkornrajavidyalaya University",,"https://www.mcu.ac.th",13.755,100.49,,
